wl,n,k
5.806795287637226410e-01,1.159560599231983069e+00,2.924427718109325447e+00
5.860387530239615783e-01,1.163851866481573794e+00,2.959047054486936723e+00
5.913979772842006266e-01,1.168143133731164296e+00,2.997080729745734029e+00
5.967572015444395639e-01,1.172268758630338192e+00,3.039008326076576783e+00
6.021164258046787232e-01,1.172223594090811671e+00,3.080935922407419980e+00
6.074756500649176605e-01,1.172178429551285150e+00,3.122863518738262734e+00
6.128348743251567088e-01,1.172133265011758629e+00,3.164791115069105043e+00
6.181940985853957571e-01,1.172088100472231886e+00,3.206718711399948685e+00
6.235533228456348054e-01,1.172042935932705365e+00,3.248646307730790994e+00
6.289125471058737427e-01,1.171997771393178844e+00,3.290573904061633748e+00
6.342717713661126799e-01,1.183376015363712064e+00,3.332501500392476501e+00
6.396309956263517282e-01,1.196232731453357179e+00,3.372559981080633928e+00
6.449902198865907765e-01,1.209089447543002516e+00,3.412486143671381811e+00
6.503494441468298248e-01,1.221946163632647631e+00,3.452412306262128805e+00
6.557086684070687621e-01,1.234802879722292523e+00,3.492338468852875799e+00
6.610678926673079214e-01,1.247659595811937860e+00,3.532264631443623681e+00
6.664271169275468587e-01,1.260516311901582975e+00,3.572190794034370676e+00
6.717863411877859070e-01,1.273373027991228090e+00,3.612116956625117670e+00
6.771455654480248443e-01,1.286237330336600815e+00,3.654862068123139185e+00
6.825047897082638926e-01,1.302966829975197527e+00,3.698471080150005807e+00
6.878640139685028299e-01,1.319696329613794239e+00,3.742080092176871986e+00
6.932232382287418782e-01,1.336425829252390951e+00,3.785689104203738609e+00
6.985824624889809265e-01,1.353155328890988107e+00,3.829298116230606119e+00
7.039416867492199748e-01,1.369884828529584819e+00,3.872907128257472742e+00
7.093009110094590230e-01,1.386614328168181975e+00,3.916516140284339809e+00
7.146601352696980713e-01,1.403343827806778910e+00,3.960125152311206431e+00
7.200193595299370086e-01,1.420073327445375622e+00,4.000447234137063823e+00
7.253785837901759459e-01,1.436802827083972334e+00,4.029925906226118570e+00
7.307378080504149942e-01,1.453532326722569046e+00,4.059404578315173318e+00
7.360970323106539315e-01,1.470261826361165980e+00,4.088883250404227176e+00
7.414562565708929798e-01,1.486991325999762692e+00,4.118361922493281924e+00
7.468154808311320281e-01,1.503720825638359848e+00,4.147840594582337559e+00
7.521747050913710764e-01,1.520450325276956560e+00,4.177319266671392306e+00
7.575339293516101247e-01,1.537179824915553716e+00,4.206797938760447053e+00
7.628931536118491730e-01,1.552425305116526655e+00,4.236276610849501800e+00
7.682523778720881102e-01,1.566794705306814972e+00,4.265697291599368945e+00
7.736116021323271585e-01,1.581164105497103511e+00,4.290621413126080697e+00
7.789708263925660958e-01,1.595533505687392051e+00,4.315545534652792448e+00
7.843300506528051441e-01,1.609902905877680590e+00,4.340469656179504199e+00
7.896892749130441924e-01,1.624272306067969351e+00,4.365393777706215950e+00
7.950484991732832407e-01,1.638641706258257891e+00,4.390317899232927701e+00
8.004077234335221780e-01,1.653011106448546430e+00,4.415242020759639452e+00
8.057669476937613373e-01,1.667380506638835191e+00,4.440166142286351203e+00
8.111261719540002746e-01,1.681749906829123731e+00,4.465090263813062954e+00
8.164853962142392119e-01,1.696119307019412270e+00,4.490014385339774705e+00
8.218446204744782602e-01,1.709672427434259401e+00,4.514938506866486456e+00
8.272038447347171974e-01,1.722868820375110133e+00,4.539862628393197319e+00
8.325630689949562457e-01,1.736065213315960865e+00,4.564786749919909070e+00
8.379222932551952940e-01,1.749261606256812041e+00,4.589710871446621709e+00
8.432815175154343423e-01,1.762457999197662772e+00,4.614634992973332572e+00
8.486407417756733906e-01,1.775654392138513726e+00,4.644780904774245656e+00
8.539999660359124389e-01,1.790257873823395185e+00,4.677516671531665615e+00
8.593591902961513762e-01,1.810344615002400959e+00,4.710252438289086463e+00
8.647184145563904245e-01,1.830431356181406732e+00,4.742988205046506422e+00
8.700776388166293618e-01,1.850518097360412506e+00,4.775723971803927270e+00
8.754368630768684101e-01,1.870604838539418280e+00,4.808459738561347230e+00
8.807960873371073474e-01,1.890691579718424054e+00,4.841195505318767189e+00
8.861553115973465067e-01,1.910778320897430271e+00,4.873931272076188925e+00
8.915145358575854440e-01,1.930865062076436045e+00,4.906667038833608885e+00
8.968737601178246033e-01,1.950951803255442263e+00,4.939402805591029733e+00
9.022329843780635406e-01,1.965346567335628958e+00,4.972138572348449692e+00
9.075922086383024778e-01,1.976868078421938790e+00,5.000356837054527936e+00
9.129514328985415261e-01,1.988389589508248623e+00,5.027007683502686675e+00
9.183106571587804634e-01,1.999911100594558455e+00,5.053658529950844525e+00
9.236698814190195117e-01,2.011432611680868288e+00,5.080309376399003263e+00
9.290291056792585600e-01,2.022954122767178564e+00,5.106960222847162001e+00
9.343883299394976083e-01,2.034475633853488397e+00,5.133611069295320739e+00
9.397475541997365456e-01,2.045997144939798229e+00,5.160261915743478589e+00
9.451067784599755939e-01,2.057518656026107617e+00,5.186912762191637327e+00
9.504660027202146422e-01,2.069040167112417894e+00,5.213563608639796065e+00
9.558252269804536905e-01,2.083704356984509953e+00,5.240214455087954804e+00
9.611844512406926277e-01,2.099384876548180845e+00,5.266865301536112653e+00
9.665436755009316760e-01,2.115065396111851292e+00,5.294330867170257804e+00
9.719028997611706133e-01,2.130745915675521740e+00,5.322705710072077601e+00
9.772621240214097726e-01,2.146426435239192632e+00,5.351080552973898286e+00
9.826213482816487099e-01,2.161233081880251206e+00,5.379455395875718970e+00
9.879805725418876472e-01,2.173894230026029994e+00,5.407830238777538767e+00
9.933397968021266955e-01,2.186555378171808783e+00,5.436205081679359452e+00
9.986990210623657438e-01,2.199216526317587572e+00,5.464579924581180137e+00
1.004058245322604792e+00,2.211877674463366361e+00,5.492954767482999934e+00
1.009417469582843729e+00,2.224538822609145150e+00,5.521329610384819730e+00
1.014776693843082667e+00,2.237199970754923939e+00,5.549704453286640415e+00
1.020135918103321826e+00,2.249861118900703172e+00,5.578079296188461100e+00
1.025495142363560763e+00,2.262522267046481961e+00,5.600415452048605580e+00
1.030854366623799701e+00,2.275183415192260750e+00,5.621977588354236666e+00
1.036213590884038638e+00,2.287844563338039539e+00,5.643539724659867751e+00
1.041572815144277797e+00,2.300535448032643870e+00,5.665101860965499725e+00
1.046932039404516956e+00,2.315290459375064280e+00,5.686663997271131699e+00
1.052291263664755894e+00,2.330045470717483802e+00,5.708226133576762784e+00
1.057650487924994831e+00,2.344800482059903768e+00,5.729788269882394758e+00
1.063009712185233990e+00,2.359555493402323290e+00,5.751350406188025843e+00
1.068368936445473150e+00,2.374310504744743699e+00,5.772912542493658705e+00
1.073728160705712087e+00,2.389065516087163221e+00,5.794474678799289791e+00
1.079087384965951024e+00,2.403820527429582743e+00,5.816036815104920876e+00
1.084446609226189961e+00,2.418575538772002709e+00,5.834232102456417657e+00
1.089805833486429121e+00,2.433330550114422230e+00,5.850316066997631737e+00
1.095165057746668058e+00,2.448085561456841752e+00,5.866400031538845816e+00
1.100524282006906995e+00,2.462840572799261718e+00,5.882483996080059896e+00
1.105883506267145933e+00,2.476010985273237264e+00,5.898567960621273976e+00
1.111242730527385092e+00,2.486785983221606156e+00,5.914651925162487167e+00
1.116601954787624029e+00,2.497560981169975047e+00,5.930735889703701247e+00
1.121961179047862966e+00,2.508335979118343495e+00,5.946819854244915327e+00
1.127320403308101904e+00,2.519110977066712387e+00,5.962903818786129406e+00
1.132679627568341063e+00,2.529885975015081279e+00,5.984319622723509369e+00
1.138038851828580000e+00,2.540660972963450170e+00,6.007686273583766834e+00
1.143398076088819160e+00,2.551435970911819506e+00,6.031052924444025187e+00
1.148757300349058097e+00,2.562210968860187954e+00,6.054419575304283541e+00
1.154116524609297256e+00,2.572985966808556846e+00,6.077786226164541006e+00
1.159475748869536194e+00,2.583760964756925738e+00,6.101152877024798471e+00
