wl,n,k
3.911700000000000177e-01,2.527693999999999885e+00,1.312052999999999914e+00
3.927599999999999980e-01,2.527505000000000113e+00,1.308451000000000031e+00
3.943400000000000238e-01,2.527242999999999906e+00,1.305064000000000002e+00
3.959300000000000042e-01,2.526959999999999873e+00,1.301924999999999999e+00
3.975199999999999845e-01,2.526727000000000167e+00,1.299050000000000038e+00
3.991000000000000103e-01,2.526638000000000162e+00,1.296421000000000046e+00
4.006899999999999906e-01,2.526787000000000116e+00,1.293976000000000015e+00
4.022700000000000164e-01,2.527239999999999931e+00,1.291587000000000041e+00
4.038599999999999968e-01,2.527984000000000009e+00,1.289080000000000004e+00
4.054400000000000226e-01,2.528865000000000141e+00,1.286291000000000073e+00
4.070300000000000029e-01,2.529589999999999783e+00,1.283203000000000094e+00
4.086199999999999832e-01,2.529863000000000195e+00,1.280121999999999982e+00
4.102000000000000091e-01,2.529787999999999926e+00,1.277706999999999926e+00
4.117899999999999894e-01,2.530370000000000008e+00,1.276416999999999913e+00
4.133700000000000152e-01,2.533129000000000186e+00,1.275185999999999931e+00
4.149599999999999955e-01,2.537576000000000054e+00,1.270979000000000081e+00
4.165400000000000214e-01,2.538971000000000089e+00,1.262825000000000086e+00
4.181300000000000017e-01,2.534048999999999996e+00,1.256971999999999978e+00
4.197199999999999820e-01,2.529920999999999864e+00,1.259378000000000108e+00
4.213000000000000078e-01,2.534899999999999931e+00,1.263152000000000053e+00
4.228899999999999881e-01,2.543657000000000057e+00,1.258693000000000062e+00
4.244700000000000140e-01,2.546743999999999897e+00,1.248693000000000053e+00
4.260599999999999943e-01,2.543940999999999786e+00,1.241071999999999953e+00
4.276499999999999746e-01,2.540672999999999959e+00,1.238305999999999907e+00
4.292300000000000004e-01,2.540414999999999868e+00,1.237808999999999937e+00
4.308199999999999807e-01,2.543051999999999868e+00,1.236464999999999925e+00
4.324000000000000066e-01,2.546800000000000175e+00,1.232888999999999902e+00
4.339899999999999869e-01,2.550015000000000143e+00,1.227303000000000033e+00
4.355800000000000227e-01,2.551886000000000099e+00,1.220637999999999890e+00
4.371599999999999930e-01,2.552362000000000020e+00,1.213827999999999907e+00
4.387499999999999734e-01,2.551823000000000174e+00,1.207484999999999919e+00
4.403400000000000092e-01,2.550774999999999793e+00,1.201850000000000085e+00
4.419199999999999795e-01,2.549665000000000070e+00,1.196884000000000059e+00
4.435100000000000153e-01,2.548789999999999889e+00,1.192390000000000061e+00
4.450899999999999856e-01,2.548299999999999788e+00,1.188109999999999999e+00
4.466800000000000215e-01,2.548216000000000037e+00,1.183799000000000046e+00
4.482700000000000018e-01,2.548474999999999824e+00,1.179257999999999917e+00
4.498500000000000276e-01,2.548963999999999785e+00,1.174344999999999972e+00
4.514400000000000079e-01,2.549548000000000147e+00,1.168978000000000073e+00
4.530199999999999783e-01,2.550092999999999943e+00,1.163122999999999907e+00
4.546100000000000141e-01,2.550476000000000187e+00,1.156787000000000010e+00
4.561999999999999944e-01,2.550591999999999970e+00,1.150001000000000051e+00
4.577800000000000202e-01,2.550358000000000125e+00,1.142817999999999889e+00
4.593700000000000006e-01,2.549709000000000003e+00,1.135299000000000058e+00
4.609599999999999809e-01,2.548599999999999977e+00,1.127510000000000012e+00
4.625400000000000067e-01,2.547000999999999848e+00,1.119518000000000013e+00
4.641299999999999870e-01,2.544899000000000022e+00,1.111388000000000043e+00
4.657100000000000128e-01,2.542286999999999964e+00,1.103180000000000049e+00
4.672999999999999932e-01,2.539172000000000207e+00,1.094948000000000032e+00
4.688899999999999735e-01,2.535562999999999789e+00,1.086743999999999932e+00
4.704699999999999993e-01,2.531476000000000059e+00,1.078608000000000011e+00
4.720599999999999796e-01,2.526933000000000096e+00,1.070581000000000005e+00
4.736500000000000155e-01,2.521955000000000169e+00,1.062693000000000110e+00
4.752299999999999858e-01,2.516563999999999801e+00,1.054972999999999939e+00
4.768200000000000216e-01,2.510784999999999823e+00,1.047442999999999902e+00
4.784100000000000019e-01,2.504643000000000175e+00,1.040121999999999991e+00
4.799900000000000277e-01,2.498162000000000216e+00,1.033025000000000082e+00
4.815800000000000081e-01,2.491363999999999912e+00,1.026164999999999994e+00
4.831599999999999784e-01,2.484271999999999814e+00,1.019551000000000096e+00
4.847500000000000142e-01,2.476907999999999888e+00,1.013188999999999895e+00
4.863399999999999945e-01,2.469291999999999820e+00,1.007087000000000065e+00
4.879200000000000204e-01,2.461443000000000048e+00,1.001244999999999941e+00
4.895100000000000007e-01,2.453380000000000116e+00,9.956669999999999687e-01
4.910999999999999810e-01,2.445120000000000182e+00,9.903539999999999566e-01
4.926800000000000068e-01,2.436676999999999982e+00,9.853039999999999576e-01
4.942699999999999871e-01,2.428068000000000115e+00,9.805169999999999719e-01
4.958500000000000130e-01,2.419305000000000039e+00,9.759910000000000529e-01
4.974399999999999933e-01,2.410401999999999934e+00,9.717230000000000034e-01
4.990299999999999736e-01,2.401370000000000005e+00,9.677120000000000166e-01
5.006099999999999994e-01,2.392220000000000013e+00,9.639529999999999488e-01
5.021999999999999797e-01,2.382962000000000025e+00,9.604430000000000467e-01
5.037899999999999601e-01,2.373606000000000105e+00,9.571790000000000020e-01
5.053699999999999859e-01,2.364158999999999899e+00,9.541570000000000329e-01
5.069599999999999662e-01,2.354630999999999919e+00,9.513730000000000242e-01
