wl,n,k
5.545713561530055680e-01,6.098748974978371873e-01,2.631136735068972499e+00
5.565078234167246674e-01,6.102645954699835729e-01,2.648249274693934563e+00
5.584442906804437667e-01,6.106542934421299584e-01,2.665361814318895739e+00
5.603807579441628661e-01,6.111962245754466450e-01,2.682348914178593002e+00
5.623172252078819655e-01,6.117464165431084622e-01,2.699291493831958988e+00
5.642536924716009539e-01,6.122966085107702794e-01,2.716234073485324085e+00
5.661901597353200533e-01,6.128468004784320966e-01,2.733176653138690071e+00
5.681266269990392637e-01,6.133969924460939138e-01,2.750119232792056057e+00
5.700630942627582520e-01,6.139471844137557310e-01,2.767061812445421154e+00
5.719995615264773514e-01,6.144973763814175483e-01,2.784004392098787140e+00
5.739360287901963398e-01,6.150475683490793655e-01,2.800946971752152237e+00
5.758724960539155502e-01,6.155977603167411827e-01,2.817889551405518223e+00
5.778089633176346496e-01,6.161479522844029999e-01,2.834832131058884208e+00
5.797454305813537490e-01,6.179446483110154764e-01,2.851774710712250194e+00
5.816818978450727373e-01,6.203884988386954014e-01,2.868717290365615291e+00
5.836183651087918367e-01,6.228323493663755483e-01,2.885587057937528233e+00
5.855548323725109361e-01,6.252761998940555843e-01,2.900902007921549508e+00
5.874912996362300355e-01,6.277200504217357313e-01,2.916216957905572116e+00
5.894277668999491349e-01,6.301639009494159893e-01,2.931531907889594279e+00
5.913642341636681232e-01,6.326077514770959143e-01,2.946846857873615555e+00
5.933007014273872226e-01,6.350516020047761723e-01,2.962161807857638163e+00
5.952371686911064330e-01,6.374954525324563193e-01,2.977476757841660326e+00
5.971736359548254214e-01,6.399393030601362442e-01,2.992791707825681602e+00
5.991101032185445208e-01,6.423831535878165022e-01,3.008106657809703766e+00
6.010465704822636201e-01,6.448270041154966492e-01,3.023421607793726373e+00
6.029830377459826085e-01,6.466541096104143627e-01,3.038736557777747649e+00
6.049195050097018189e-01,6.480671862199142153e-01,3.054051507761769813e+00
6.068559722734208073e-01,6.494802628294140678e-01,3.069366457745791088e+00
6.087924395371399067e-01,6.508933394389139204e-01,3.084673796164218551e+00
6.107289068008590061e-01,6.523064160484137730e-01,3.099864820074315741e+00
